life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
74.4,14.63,15.55,53116.79,0.9001,Very High
65.05,4.81,10.32,8002.85,0.5897,Medium
59.75,5.31,9.84,5057.63,0.5464,Low
84.52,14.07,15.61,64214.65,0.9565,Very High
59.88,7.16,10.23,4062.76,0.5642,Medium
58.25,4.07,9.49,9947.37,0.5466,Low
73.17,9.5,13.67,21792.97,0.7738,High
65.57,6.55,11.11,4750.25,0.5996,Medium
61.81,5.13,10.8,11063.0,0.5993,Medium
81.91,10.34,13.83,35972.71,0.8513,Very High
70.94,8.49,12.03,13536.04,0.7104,High
75.66,7.47,11.18,30667.54,0.7457,High
65.19,6.81,8.46,8294.5,0.5984,Medium
80.44,12.27,15.49,58288.73,0.9088,Very High
75.85,9.27,12.67,11828.41,0.7427,High
78.85,13.27,15.97,74098.48,0.9286,Very High
56.81,2.71,5.84,1838.76,0.3978,Low
62.9,4.19,5.83,2629.86,0.4615,Low
80.18,12.44,17.5,43629.35,0.9149,Very High
47.04,1.31,9.59,1763.06,0.3823,Low
70.27,10.01,13.62,23917.9,0.7695,High
54.73,2.63,7.94,488.57,0.3405,Low
62.31,6.34,9.45,7919.25,0.5884,Medium
62.64,7.68,9.08,5288.52,0.5847,Medium
78.79,11.56,13.59,46727.52,0.8621,Very High
52.21,3.61,6.52,1575.51,0.3963,Low
84.87,10.6,15.29,35553.81,0.8832,Very High
74.0,9.31,16.8,60299.62,0.8547,Very High
52.2,2.58,6.7,984.19,0.3597,Low
69.06,6.94,9.93,5597.67,0.6151,Medium
71.46,8.35,12.76,18091.86,0.7327,High
66.73,5.96,10.13,6167.13,0.599,Medium
61.27,1.25,5.59,2262.14,0.389,Low
47.12,0.75,6.25,1667.53,0.3279,Low
46.34,5.96,5.45,1617.58,0.3907,Low
81.05,12.7,14.06,36165.31,0.8795,Very High
64.12,7.0,10.11,4646.94,0.5871,Medium
58.55,2.26,5.9,752.62,0.351,Low
63.19,3.96,11.07,5915.6,0.5646,Medium
57.23,2.0,5.91,3581.26,0.4151,Low
72.33,10.39,11.31,9724.18,0.7165,High
53.57,4.01,4.45,2307.3,0.3979,Low
71.47,9.91,11.04,19922.41,0.7389,High
44.49,2.94,5.54,3027.95,0.3656,Low
63.1,6.94,9.69,2793.98,0.5506,Medium
77.55,13.07,15.25,66997.73,0.9077,Very High
67.78,4.32,10.5,4027.52,0.5634,Medium
69.18,11.19,13.67,10625.46,0.7377,High
73.97,8.11,12.58,25666.78,0.7555,High
47.68,1.06,6.54,1886.26,0.3449,Low
76.08,13.06,14.63,52047.86,0.8819,Very High
67.96,7.54,12.15,6287.86,0.6478,Medium
76.87,10.72,16.26,40112.12,0.8622,Very High
64.13,4.18,11.85,10504.2,0.6069,Medium
76.4,10.09,15.37,58117.69,0.8603,Very High
44.69,2.14,5.07,2827.19,0.3438,Low
82.47,10.8,14.01,51317.45,0.8788,Very High
55.06,3.9,7.37,957.1,0.3949,Low
68.01,9.89,13.81,29746.3,0.7682,High
54.22,2.27,7.42,1487.43,0.3925,Low
66.33,7.78,11.53,10158.73,0.6606,Medium
44.85,3.89,7.9,1371.04,0.3751,Low
65.77,6.83,10.57,7950.47,0.6237,Medium
58.09,5.8,4.16,1101.39,0.4034,Low
51.28,0.4,7.3,3603.59,0.3833,Low
51.67,3.75,6.07,1678.09,0.3935,Low
68.36,9.69,14.17,9481.16,0.7157,High
50.25,3.26,7.94,1129.95,0.3829,Low
72.15,11.04,12.64,17318.41,0.7658,High
74.37,10.02,13.5,13938.22,0.7619,High
87.11,14.27,16.24,46598.83,0.951,Very High
61.49,5.03,9.39,1680.85,0.4885,Low
83.66,10.09,17.25,64324.87,0.9205,Very High
58.4,6.93,11.45,4291.5,0.5689,Medium
50.48,3.52,7.25,1482.56,0.3934,Low
67.84,9.83,10.88,24138.68,0.7269,High
75.2,8.6,11.88,13538.3,0.7295,High
67.24,7.33,8.19,11438.64,0.6261,Medium
81.7,9.54,18.32,62588.74,0.9108,Very High
80.5,12.7,15.09,64473.02,0.9151,Very High
71.24,6.36,14.4,28796.81,0.7445,High
75.33,8.29,11.34,22833.25,0.7447,High
71.08,8.95,12.25,10928.03,0.7085,High
71.45,10.14,11.16,19681.57,0.7425,High
77.52,14.01,14.02,39422.32,0.8812,Very High
70.18,10.62,15.8,28778.3,0.806,Very High
73.31,9.02,12.74,29231.96,0.7722,High
59.58,5.88,9.05,8300.54,0.5665,Medium
70.53,8.4,12.71,15754.74,0.7219,High
71.32,8.95,12.37,19289.62,0.7385,High
78.76,14.59,17.68,42434.29,0.9312,Very High
68.76,9.73,12.94,9604.98,0.7072,High
55.28,2.74,8.7,2150.75,0.4375,Low
68.47,9.24,14.58,16766.63,0.7436,High
72.44,6.84,11.29,29555.9,0.7215,High
60.87,4.04,10.7,9485.21,0.5716,Medium
59.16,3.49,8.55,1451.81,0.4416,Low
79.3,12.78,16.36,46587.34,0.9067,Very High
67.82,7.88,10.21,7273.28,0.6385,Medium
71.06,9.61,11.76,21631.54,0.7446,High
51.09,4.08,8.28,989.79,0.3929,Low
60.92,7.04,10.67,2510.64,0.546,Low
67.09,8.03,11.27,18746.14,0.6929,Medium
76.08,12.82,14.64,63822.09,0.8888,Very High
64.43,4.14,11.94,6482.76,0.587,Medium
67.92,4.4,10.96,5839.72,0.589,Medium
55.1,1.49,7.13,2470.8,0.4018,Low
64.09,8.62,9.69,7779.49,0.6285,Medium
60.92,5.96,9.58,2650.69,0.5251,Low
69.46,10.63,14.69,24501.04,0.7841,High
58.46,7.41,8.91,2985.72,0.5315,Low
67.75,8.96,14.7,22080.97,0.7509,High
59.28,4.65,4.96,615.23,0.3648,Low
60.68,3.79,5.5,3085.6,0.449,Low
61.18,1.85,8.71,2118.22,0.446,Low
81.84,14.07,17.59,34317.59,0.9297,Very High
59.15,7.05,11.15,9194.37,0.6074,Medium
69.89,6.25,15.05,28632.64,0.7434,High
81.15,10.35,17.25,69860.46,0.9154,Very High
76.29,9.87,12.7,10180.97,0.7444,High
75.29,14.15,17.88,64832.97,0.9305,Very High
69.48,10.23,13.34,21245.38,0.7598,High
80.08,14.12,15.92,53915.49,0.929,Very High
72.68,7.44,14.23,24803.34,0.7572,High
48.36,3.56,8.3,3095.95,0.4291,Low
70.97,10.42,14.32,23946.6,0.7849,High
60.05,7.51,9.45,6597.57,0.5848,Medium
58.85,7.79,13.31,4036.28,0.5945,Medium
58.99,5.1,8.65,9484.56,0.5531,Medium
69.97,8.78,12.64,24519.16,0.7438,High
61.02,6.95,8.09,3714.58,0.5397,Low
75.0,7.03,11.35,13620.09,0.7015,High
79.33,10.27,17.51,32384.81,0.8709,Very High
66.43,5.62,11.15,7044.37,0.6112,Medium
84.78,12.68,17.49,61847.45,0.9579,Very High
63.45,4.92,8.13,7106.84,0.5517,Medium
78.29,9.61,17.81,46061.76,0.8781,Very High
61.96,8.09,8.53,5235.45,0.5804,Medium
55.68,4.12,6.89,2185.33,0.438,Low
83.0,12.3,16.36,46238.04,0.9192,Very High
79.42,12.82,14.18,54385.49,0.8938,Very High
80.28,11.33,17.21,41151.59,0.897,Very High
72.23,10.13,14.53,13886.63,0.7628,High
56.34,4.65,5.66,2557.55,0.4405,Low
63.39,4.9,10.74,11296.31,0.6037,Medium
58.94,4.56,5.91,624.25,0.3743,Low
56.41,5.89,8.02,3046.59,0.4948,Low
60.44,5.3,11.08,8800.23,0.5886,Medium
86.75,14.73,17.34,38351.75,0.9562,Very High
75.92,10.45,18.98,70955.83,0.8978,Very High
70.8,6.93,14.2,34665.72,0.7557,High
74.45,8.85,13.52,28309.48,0.7825,High
73.24,10.06,14.4,25622.94,0.7961,High
54.62,2.26,5.55,756.19,0.3342,Low
57.04,2.42,7.59,1462.47,0.4068,Low
77.67,9.38,17.71,49806.67,0.875,Very High
56.69,6.72,10.3,10835.79,0.5885,Medium
58.27,8.34,11.3,6738.62,0.6051,Medium
67.49,4.6,9.64,4672.79,0.5632,Medium
67.53,3.16,7.77,6016.62,0.5258,Low
78.3,9.93,15.85,35568.0,0.8499,Very High
68.53,9.95,11.9,14279.09,0.7181,High
74.42,9.81,11.81,27516.14,0.7749,High
71.92,8.59,12.72,10744.45,0.712,High
66.02,6.19,8.34,7295.66,0.5857,Medium
86.09,10.8,15.78,53254.19,0.9114,Very High
62.0,6.05,7.66,7251.02,0.5576,Medium
77.54,13.64,16.12,70605.86,0.9251,Very High
65.97,7.1,8.98,6237.51,0.5987,Medium
51.96,2.46,5.14,3060.55,0.3851,Low
62.77,5.98,9.26,6299.1,0.5729,Medium
57.19,5.45,7.92,6458.96,0.5251,Low
61.78,6.5,7.89,6142.84,0.5585,Medium
76.86,13.45,15.27,34027.46,0.876,Very High
83.79,11.13,15.56,51699.57,0.9061,Very High
48.12,4.8,5.56,442.67,0.3127,Low
75.91,7.72,10.95,19329.53,0.7269,High
69.37,9.54,14.1,10826.83,0.7252,High
64.94,6.16,10.89,11631.41,0.6318,Medium
61.08,1.12,6.74,3059.36,0.4186,Low
51.72,2.96,5.87,2885.55,0.4018,Low
75.61,14.27,17.52,39847.18,0.9065,Very High
66.99,7.2,7.82,5627.71,0.5859,Medium
53.69,2.63,3.68,1605.8,0.3457,Low
52.96,1.84,5.82,785.53,0.3278,Low
69.94,9.28,14.74,26813.31,0.7755,High
70.39,9.89,11.81,30906.3,0.7616,High
48.73,4.1,5.42,1786.41,0.381,Low
66.43,4.74,9.36,4842.81,0.5594,Medium
81.14,13.75,15.23,67180.49,0.9341,Very High
50.04,3.41,5.45,720.5,0.3318,Low
82.41,11.54,15.76,31998.4,0.8829,Very High
60.1,7.03,9.45,2577.25,0.5319,Low
51.17,1.47,8.68,2470.46,0.407,Low
77.5,10.07,14.34,48666.89,0.8465,Very High
76.45,10.38,13.14,18432.25,0.7866,High
84.53,13.42,17.99,38233.36,0.9453,Very High
69.52,7.45,11.84,14334.93,0.691,Medium
52.6,3.71,4.48,2796.28,0.397,Low
75.79,9.95,14.8,19348.64,0.7974,High
78.38,13.91,15.38,39215.72,0.897,Very High
61.98,6.09,5.2,2356.55,0.4749,Low
67.82,3.57,10.42,2365.07,0.5237,Low
60.66,6.69,11.03,8623.57,0.6063,Medium
54.79,4.38,4.25,964.46,0.3644,Low
50.3,1.71,9.49,1895.99,0.405,Low
60.88,5.45,7.77,5218.57,0.5306,Low
59.69,5.28,10.43,8956.93,0.5781,Medium
75.83,14.54,15.39,59276.32,0.9108,Very High
76.36,10.79,16.67,67566.04,0.8889,Very High
52.62,0.9,8.74,1584.59,0.3851,Low
55.92,4.18,7.27,2128.18,0.4433,Low
61.1,5.42,6.95,2693.01,0.4899,Low
85.09,11.89,15.76,60381.41,0.9309,Very High
47.1,2.7,4.63,702.46,0.2994,Low
60.52,4.45,9.07,9274.99,0.5549,Medium
47.6,2.45,8.46,1082.46,0.3644,Low
77.06,15.0,16.4,58360.85,0.931,Very High
78.94,10.19,14.6,15234.49,0.8005,Very High
64.66,4.5,9.21,7755.52,0.568,Medium
77.27,13.26,17.94,57816.61,0.9268,Very High
58.57,1.51,5.64,3263.02,0.4014,Low
62.91,3.36,5.06,3149.48,0.4429,Low
58.62,5.99,11.48,2536.05,0.5319,Low
68.22,5.53,9.86,11071.31,0.623,Medium
62.08,2.87,6.11,1175.95,0.3998,Low
75.58,12.43,17.78,34942.84,0.8824,Very High
59.83,4.6,12.44,4417.43,0.5593,Medium
67.9,6.11,9.84,6028.9,0.6014,Medium
76.04,11.11,17.76,57662.72,0.8942,Very High
67.73,11.66,11.95,21422.58,0.7542,High
68.8,6.21,11.13,23237.28,0.6832,Medium
78.14,13.5,17.66,50677.8,0.925,Very High
45.39,3.28,7.94,2625.54,0.3992,Low
84.28,11.15,15.31,56071.3,0.91,Very High
54.41,3.43,7.96,1524.31,0.4181,Low
70.41,9.66,14.11,25504.54,0.7739,High
81.06,13.65,14.49,51332.41,0.9123,Very High
63.68,7.96,11.42,6889.56,0.6302,Medium
62.2,3.84,9.01,4303.59,0.5188,Low
75.33,10.5,12.83,10291.66,0.7495,High
65.86,5.82,10.22,4878.79,0.5828,Medium
63.86,6.95,12.78,8195.89,0.641,Medium
49.64,1.76,4.18,3284.35,0.3477,Low
78.64,12.78,14.78,45746.02,0.8872,Very High
69.9,8.92,12.99,20084.12,0.7396,High
80.67,11.9,15.19,41799.89,0.8865,Very High
44.58,2.92,5.73,2901.61,0.3668,Low
80.21,12.3,16.77,39326.07,0.9013,Very High
45.08,3.21,7.92,1495.43,0.3721,Low
57.38,3.16,8.93,3324.88,0.4756,Low
73.54,10.94,12.39,23586.46,0.7839,High
62.95,6.33,9.06,3698.8,0.5504,Medium
68.75,6.08,10.41,8720.07,0.6291,Medium
80.81,13.56,15.82,51491.92,0.9231,Very High
58.89,4.54,6.28,3655.32,0.4733,Low
59.28,5.83,9.91,10035.58,0.5823,Medium
64.26,6.38,7.75,8156.04,0.5787,Medium
85.52,12.53,14.76,64392.01,0.9317,Very High
76.13,13.98,15.29,56738.98,0.9032,Very High
45.67,3.44,9.17,1986.38,0.4038,Low
57.26,4.1,9.06,2089.62,0.4675,Low
47.99,0.94,7.71,514.39,0.2968,Low
47.49,0.0,4.9,2198.18,0.2995,Low
44.77,2.84,7.01,1047.84,0.3394,Low
71.31,7.71,13.33,11635.33,0.7086,High
78.6,10.36,15.62,72551.03,0.8876,Very High
75.84,7.96,11.45,18657.7,0.7342,High
72.48,8.01,11.66,9745.17,0.691,Medium
59.83,2.76,6.82,2303.57,0.434,Low
61.43,7.47,8.92,10079.95,0.6043,Medium
58.89,5.27,4.38,842.53,0.3854,Low
69.33,5.85,8.93,6914.06,0.5993,Medium
55.03,0.41,5.84,445.82,0.2776,Low
74.84,9.22,13.66,20339.61,0.7749,High
59.01,3.05,4.86,3486.42,0.4241,Low
79.28,14.23,15.02,51835.96,0.9156,Very High
69.77,8.81,14.03,13502.6,0.7291,High
70.36,6.19,9.18,9641.68,0.6273,Medium
83.2,13.71,16.71,64325.32,0.9564,Very High
51.64,2.56,7.67,3336.73,0.4253,Low
70.46,9.23,14.22,22189.8,0.7636,High
85.28,10.66,14.09,48810.04,0.8872,Very High
50.75,1.25,8.18,2033.68,0.3869,Low
74.75,7.98,14.56,27090.47,0.7818,High
54.36,3.22,3.96,836.02,0.3328,Low
63.28,7.34,8.96,7471.55,0.5983,Medium
72.6,8.14,13.95,12421.98,0.7296,High
81.95,10.77,15.68,46886.11,0.8894,Very High
60.05,3.84,4.15,2540.56,0.4184,Low
69.65,10.86,12.04,21928.34,0.7565,High
63.18,8.16,11.37,2920.3,0.5838,Medium
79.06,9.26,15.78,56707.05,0.8663,Very High
70.49,10.58,13.23,18539.13,0.7613,High
76.38,11.14,14.87,68428.39,0.8754,Very High
51.55,1.38,7.93,708.53,0.3369,Low
83.99,13.53,15.59,57294.3,0.9416,Very High
82.24,10.42,17.08,45580.14,0.8995,Very High
77.99,13.8,18.43,50102.15,0.93,Very High
56.76,2.76,9.57,1683.29,0.4419,Low
51.35,2.88,5.89,3220.77,0.4035,Low
78.1,13.57,15.29,43820.35,0.8964,Very High
61.64,4.41,8.57,10928.18,0.5593,Medium
70.52,9.99,12.54,27660.59,0.7661,High
78.22,13.34,17.24,76142.4,0.9386,Very High
70.28,7.64,14.87,18300.72,0.7408,High
58.81,4.3,10.48,7233.67,0.5515,Medium
77.03,13.17,17.81,70189.82,0.9326,Very High
76.32,12.9,15.61,32021.15,0.8671,Very High
59.29,2.38,7.0,2627.32,0.4339,Low
43.13,0.75,5.27,1125.74,0.2815,Low
63.74,7.66,11.39,7884.55,0.6331,Medium
76.0,12.5,15.57,69738.74,0.8978,Very High
66.77,7.69,9.76,6702.41,0.6223,Medium
80.15,15.0,16.0,60574.44,0.9457,Very High
73.04,14.86,17.57,32478.53,0.8883,Very High
59.84,7.49,8.9,6504.01,0.5769,Medium
75.51,8.65,14.33,21524.53,0.7807,High
67.06,7.47,10.57,33289.98,0.7012,High
65.69,3.53,9.84,7608.55,0.5645,Medium
71.66,7.8,10.21,7074.0,0.6526,Medium
71.86,11.28,14.71,16454.32,0.7844,High
59.71,4.79,9.25,8286.06,0.5538,Medium
51.49,0.0,5.7,3410.79,0.3446,Low
85.47,11.58,16.35,72215.88,0.9418,Very High
70.08,10.93,14.1,16342.37,0.7653,High
76.62,13.15,16.77,70219.29,0.9204,Very High
45.38,3.95,8.65,3185.22,0.4235,Low
45.72,4.12,8.52,400.92,0.3143,Low
52.2,1.96,6.41,3444.92,0.4011,Low
60.17,3.7,6.8,3286.54,0.4669,Low
82.95,12.69,16.21,72312.07,0.9439,Very High
59.75,3.97,8.34,2349.68,0.4735,Low
68.33,7.45,8.83,9322.78,0.6311,Medium
69.21,8.26,8.32,10226.01,0.6448,Medium
65.7,8.79,15.0,23799.34,0.7444,High
81.82,14.1,14.54,33067.47,0.8997,Very High
68.62,8.08,13.67,26388.79,0.7422,High
66.34,6.27,12.32,3712.1,0.5986,Medium
71.35,4.57,11.64,5519.49,0.6106,Medium
71.2,7.73,12.12,7982.94,0.6766,Medium
65.16,5.63,9.04,2515.08,0.5296,Low
70.85,8.45,14.42,12117.09,0.7286,High
48.31,3.26,5.16,1824.01,0.3639,Low
64.0,5.97,8.9,2790.7,0.5337,Low
75.4,6.45,12.48,27303.23,0.7402,High
78.91,13.45,15.62,46754.01,0.9055,Very High
77.05,12.3,15.9,54475.03,0.8927,Very High
71.12,9.37,11.86,25654.97,0.7505,High
61.41,1.15,4.41,1412.18,0.3447,Low
70.22,10.19,11.58,26592.09,0.7553,High
74.1,15.0,16.16,52064.11,0.9071,Very High
82.61,10.82,15.78,41886.71,0.8888,Very High
61.99,6.75,9.3,4373.07,0.5628,Medium
67.72,4.59,8.68,4434.39,0.5493,Low
67.12,5.56,11.28,2760.81,0.5658,Medium
66.19,4.17,9.99,7909.07,0.5802,Medium
49.66,4.74,5.55,2640.45,0.413,Low
75.55,7.28,12.64,19448.81,0.7392,High
73.35,7.83,11.3,23060.01,0.7292,High
68.91,10.46,13.11,27331.27,0.7688,High
69.03,10.38,13.2,22859.42,0.7612,High
77.64,12.87,15.66,30328.97,0.8713,Very High
56.39,3.83,8.17,3458.62,0.4736,Low
74.86,12.19,14.89,39424.04,0.8549,Very High
67.45,8.2,13.08,21801.44,0.723,High
79.5,15.0,17.32,72578.15,0.9632,Very High
84.37,11.68,15.51,74463.55,0.9326,Very High
74.01,8.13,14.51,17185.38,0.758,High
72.37,5.79,14.04,13857.96,0.7046,High
76.3,10.66,15.03,35636.85,0.8407,Very High
83.51,10.91,15.23,67325.81,0.911,Very High
75.53,8.84,12.59,14851.46,0.7465,High
72.02,9.17,13.61,20669.52,0.761,High
59.45,5.43,9.35,9028.98,0.5666,Medium
70.95,10.34,15.41,29497.89,0.8043,Very High
75.49,9.91,13.58,32204.84,0.8077,Very High
72.42,8.0,15.03,22379.94,0.7669,High
77.9,13.12,16.64,69387.48,0.9251,Very High
73.43,11.2,17.46,61354.46,0.8811,Very High
76.0,8.98,12.69,19004.21,0.7637,High
75.07,12.71,14.83,31428.51,0.8503,Very High
68.93,5.06,10.39,10663.47,0.6238,Medium
80.15,14.08,14.91,60488.47,0.9248,Very High
54.56,1.75,8.07,3112.96,0.4273,Low
70.32,7.26,12.96,11405.92,0.6935,Medium
54.92,4.25,5.56,318.12,0.3029,Low
58.34,5.95,9.49,9110.78,0.5706,Medium
61.28,4.77,9.71,10632.33,0.5768,Medium
71.65,8.15,11.56,26007.84,0.7342,High
74.9,9.75,14.77,15790.26,0.7802,High
65.01,4.87,8.42,9418.15,0.5731,Medium
62.69,1.98,5.77,2578.96,0.418,Low
83.54,11.21,14.81,56567.25,0.9023,Very High
51.87,2.12,5.88,2191.28,0.3768,Low
50.43,2.16,8.1,2962.88,0.4144,Low
76.18,12.68,15.61,56149.47,0.8912,Very High
60.68,2.27,6.26,3206.01,0.434,Low
68.94,6.46,10.25,7053.86,0.6231,Medium
76.88,14.29,15.19,53553.42,0.907,Very High
77.99,15.0,17.35,53879.34,0.9406,Very High
78.2,11.95,15.29,43815.43,0.8781,Very High
54.63,4.43,8.24,2078.49,0.4513,Low
84.49,11.68,17.21,45937.46,0.9272,Very High
66.86,10.72,12.79,14507.77,0.7283,High
83.47,12.82,14.94,44494.67,0.9116,Very High
84.76,11.17,14.43,33482.8,0.8779,Very High
57.74,4.52,5.33,2799.16,0.4435,Low
71.34,7.64,12.28,9718.54,0.6878,Medium
76.72,11.39,11.63,16675.64,0.7797,High
81.28,13.33,15.85,51627.99,0.9233,Very High
77.65,12.94,17.41,50119.23,0.9134,Very High
69.98,6.28,13.18,25148.39,0.7176,High
56.59,4.11,5.54,3263.4,0.4418,Low
75.02,13.19,17.83,72355.28,0.9233,Very High
62.94,4.98,4.66,2434.36,0.4549,Low
82.37,9.77,16.74,40470.59,0.8829,Very High
67.38,9.19,13.66,16951.11,0.7292,High
57.17,4.86,11.83,9493.03,0.5778,Medium
75.29,15.0,13.95,39063.44,0.8796,Very High
67.73,4.23,10.62,5149.59,0.5755,Medium
55.57,3.19,8.72,3011.06,0.4611,Low
67.05,9.31,11.05,18465.17,0.7061,High
81.01,11.86,16.9,30622.11,0.8887,Very High
68.29,5.52,9.45,7368.23,0.5995,Medium
74.81,10.08,13.14,19182.11,0.7772,High
70.11,6.67,8.96,3146.12,0.5742,Medium
79.51,14.01,15.21,73026.45,0.9326,Very High
72.52,10.19,14.38,18855.75,0.779,High
61.24,5.79,10.77,2863.36,0.5409,Low
71.19,10.78,11.88,11125.87,0.7283,High
81.49,13.37,17.4,60165.74,0.9471,Very High
51.86,3.07,9.66,1682.98,0.4263,Low
70.85,10.48,10.95,12764.65,0.7208,High
76.68,6.86,14.48,25058.77,0.7714,High
53.85,1.48,8.26,2035.56,0.4043,Low
63.09,7.04,8.27,7569.65,0.5859,Medium
70.79,10.48,12.85,22457.16,0.767,High
65.19,4.35,12.28,5860.55,0.5923,Medium
50.8,2.86,5.54,1034.12,0.3466,Low
69.24,3.52,9.93,4281.11,0.5529,Medium
64.55,6.38,10.47,7544.38,0.6085,Medium
66.37,3.15,9.4,9552.72,0.5645,Medium
78.38,11.98,17.58,49049.77,0.9071,Very High
82.32,12.08,18.63,53155.06,0.9361,Very High
67.95,9.08,11.88,27394.5,0.7342,High
66.32,6.89,7.96,9541.0,0.6048,Medium
53.01,1.96,7.14,450.85,0.3123,Low
60.94,7.43,9.11,3557.43,0.5541,Medium
64.23,6.68,10.56,4201.24,0.5831,Medium
81.23,11.85,14.91,43487.04,0.8878,Very High
68.16,9.68,11.01,19838.15,0.7192,High
62.88,7.91,7.64,5563.3,0.5754,Medium
74.25,7.49,16.0,33212.61,0.798,High
72.42,9.7,12.36,14416.68,0.7391,High
72.73,10.12,12.91,27732.37,0.7828,High
59.97,7.82,11.23,7543.56,0.6127,Medium
68.53,5.1,9.19,9178.01,0.6008,Medium
47.83,1.21,5.41,2901.38,0.3463,Low
80.0,13.23,14.86,45941.94,0.9003,Very High
74.92,10.87,16.85,35334.8,0.8535,Very High
65.59,7.93,11.16,27592.84,0.6994,Medium
83.59,15.0,15.24,35569.05,0.9289,Very High
67.59,5.21,10.21,5194.82,0.5846,Medium
70.65,9.38,13.11,19098.26,0.7479,High
65.7,7.28,11.46,3610.99,0.5979,Medium
61.69,6.3,8.11,5036.32,0.5489,Low
54.79,1.34,3.93,3277.52,0.3514,Low
49.83,4.44,7.25,1061.15,0.3854,Low
68.06,9.4,14.37,17050.18,0.7422,High
65.7,6.28,10.25,6511.72,0.6029,Medium
47.78,2.35,7.58,2053.36,0.3833,Low
74.07,10.4,14.66,30355.81,0.815,Very High
78.67,11.96,15.61,61855.87,0.9001,Very High
62.42,1.37,8.04,500.72,0.3496,Low
72.21,10.06,11.83,25797.98,0.7647,High
81.91,11.88,17.54,55678.97,0.9296,Very High
74.98,9.21,11.0,27537.14,0.7603,High
79.9,14.05,16.56,33350.68,0.9088,Very High
73.17,10.25,11.09,27807.98,0.7674,High
59.89,5.84,9.18,10296.54,0.5781,Medium
74.18,8.51,14.27,23592.97,0.7763,High
60.42,5.11,9.01,4149.63,0.528,Low
67.83,7.9,14.26,20339.85,0.7303,High
51.18,2.41,4.51,1955.56,0.3538,Low
60.21,6.22,9.79,6006.76,0.5682,Medium
66.38,5.91,8.17,10843.05,0.5983,Medium
68.98,4.4,7.95,3208.07,0.5255,Low
73.8,7.88,10.85,15171.4,0.7075,High
63.34,6.6,9.19,7486.06,0.5912,Medium
70.43,7.26,13.87,16382.65,0.721,High
46.16,1.89,4.39,392.4,0.2486,Low
52.09,3.93,7.44,2243.2,0.4278,Low
83.34,11.16,15.55,50360.71,0.9029,Very High
77.3,9.78,14.59,15671.27,0.7896,High
55.54,3.67,3.95,1834.34,0.382,Low
84.18,12.94,16.7,63308.46,0.9514,Very High
73.52,8.2,14.49,28609.02,0.7806,High
71.49,10.97,11.78,16179.36,0.7499,High
44.89,2.54,6.79,1187.67,0.3394,Low
80.13,11.22,16.99,70836.74,0.9189,Very High
73.55,13.86,18.59,66204.31,0.9196,Very High
53.39,3.66,7.15,1329.81,0.4008,Low
75.5,14.96,17.63,28428.53,0.8964,Very High
58.46,3.82,7.89,4644.51,0.4917,Low
79.01,11.02,14.56,62009.16,0.8795,Very High
62.84,6.43,10.68,8973.81,0.6116,Medium
68.91,11.28,13.43,20640.12,0.7685,High
55.82,2.55,7.49,2307.25,0.4246,Low
68.42,9.78,12.5,25010.2,0.7478,High
44.72,3.6,6.07,2403.06,0.3749,Low
63.65,5.01,11.68,4261.0,0.5719,Medium
77.2,13.66,16.55,50209.48,0.9112,Very High
79.55,14.63,15.71,50233.77,0.9266,Very High
70.97,7.64,12.78,10471.88,0.695,Medium
83.22,9.38,15.67,32476.92,0.8597,Very High
70.95,9.07,14.29,24393.62,0.7693,High
56.39,5.66,8.32,5179.69,0.5195,Low
72.16,6.13,13.41,25075.34,0.7283,High
49.07,3.07,4.32,2595.55,0.3658,Low
75.27,8.7,13.22,24561.17,0.7746,High
51.91,2.54,8.23,2338.16,0.4184,Low
57.65,4.18,10.25,1334.22,0.4581,Low
69.43,9.16,14.65,15456.37,0.7443,High
70.96,11.22,14.85,17352.64,0.7831,High
75.81,14.76,15.44,67971.75,0.9201,Very High
62.24,3.09,7.56,464.1,0.3612,Low
70.64,6.54,8.36,6504.54,0.6049,Medium
45.25,2.46,8.16,2789.94,0.3921,Low
63.47,3.66,11.26,5934.47,0.5639,Medium
60.96,4.44,5.68,2527.21,0.4548,Low
61.77,3.73,5.79,2768.95,0.4513,Low
83.18,11.83,15.33,44888.62,0.9026,Very High
56.12,3.01,8.39,1600.49,0.4265,Low
66.81,10.07,12.18,22296.1,0.7347,High
68.1,6.61,8.31,8838.61,0.6091,Medium
81.18,10.5,15.17,49662.47,0.8798,Very High
77.05,9.69,14.85,28355.34,0.8196,Very High
61.31,7.47,8.47,5655.38,0.5725,Medium
75.36,9.2,14.51,29464.22,0.8037,Very High
55.97,2.79,7.24,2333.86,0.4262,Low
78.67,11.85,15.86,56161.74,0.8968,Very High
64.16,5.52,8.85,4526.04,0.552,Medium
63.55,6.87,13.25,13223.4,0.6658,Medium
54.57,5.11,6.57,935.52,0.3987,Low
56.67,2.34,4.4,1980.98,0.3707,Low
66.95,9.45,13.11,15289.1,0.7197,High
69.44,8.02,11.8,12797.06,0.6923,Medium
63.11,4.29,12.28,4654.28,0.5711,Medium
58.08,4.42,8.35,5998.03,0.5161,Low
66.54,7.18,9.41,10951.48,0.6336,Medium
84.29,13.94,14.57,71984.3,0.9491,Very High
61.04,4.53,11.88,4080.77,0.5541,Medium
53.18,2.61,5.14,2613.37,0.3867,Low
66.27,4.93,11.69,9703.65,0.6221,Medium
